#Coverage	Number of genomic locations
1292.0	320.0
1293.0	314.0
1294.0	316.0
1295.0	356.0
1296.0	321.0
1297.0	307.0
1298.0	367.0
1299.0	307.0
1300.0	298.0
1301.0	289.0
1302.0	300.0
1303.0	302.0
1304.0	297.0
1305.0	320.0
1306.0	343.0
1307.0	310.0
1308.0	301.0
1309.0	312.0
1310.0	295.0
1311.0	291.0
1312.0	323.0
1313.0	289.0
1314.0	305.0
1315.0	287.0
1316.0	299.0
1317.0	314.0
1318.0	327.0
1319.0	298.0
1320.0	347.0
1321.0	290.0
1322.0	300.0
1323.0	296.0
1324.0	299.0
1325.0	310.0
1326.0	316.0
1327.0	292.0
1328.0	278.0
1329.0	299.0
1330.0	298.0
1331.0	297.0
1332.0	307.0
1333.0	299.0
1334.0	293.0
1335.0	284.0
1336.0	291.0
1337.0	295.0
1338.0	292.0
1339.0	297.0
1340.0	317.0
1341.0	318.0
1342.0	289.0
1343.0	297.0
1344.0	301.0
1345.0	296.0
1346.0	296.0
1347.0	319.0
1348.0	288.0
1349.0	283.0
1350.0	292.0
1351.0	277.0
1352.0	252.0
1353.0	296.0
1354.0	289.0
1355.0	308.0
1356.0	271.0
1357.0	266.0
1358.0	281.0
1359.0	277.0
1360.0	274.0
1361.0	269.0
1362.0	272.0
1363.0	245.0
1364.0	265.0
1365.0	290.0
1366.0	293.0
1367.0	295.0
1368.0	257.0
1369.0	250.0
1370.0	250.0
1371.0	269.0
1372.0	263.0
1373.0	266.0
1374.0	300.0
1375.0	284.0
1376.0	266.0
1377.0	322.0
1378.0	287.0
1379.0	282.0
1380.0	296.0
1381.0	241.0
1382.0	243.0
1383.0	275.0
1384.0	250.0
1385.0	264.0
1386.0	246.0
1387.0	263.0
1388.0	260.0
1389.0	227.0
1390.0	262.0
1391.0	251.0
1392.0	257.0
1393.0	284.0
1394.0	260.0
1395.0	275.0
1396.0	268.0
1397.0	264.0
1398.0	277.0
1399.0	255.0
1400.0	277.0
1401.0	263.0
1402.0	237.0
1403.0	276.0
1404.0	257.0
1405.0	223.0
1406.0	246.0
1407.0	250.0
1408.0	252.0
1409.0	249.0
1410.0	279.0
1411.0	243.0
1412.0	235.0
1413.0	264.0
1414.0	261.0
1415.0	250.0
1416.0	249.0
1417.0	246.0
1418.0	224.0
1419.0	241.0
1420.0	243.0
1421.0	271.0
1422.0	237.0
1423.0	259.0
1424.0	232.0
1425.0	259.0
1426.0	236.0
1427.0	217.0
1428.0	243.0
1429.0	207.0
1430.0	234.0
1431.0	223.0
1432.0	248.0
1433.0	226.0
1434.0	229.0
1435.0	259.0
1436.0	207.0
1437.0	258.0
1438.0	236.0
1439.0	243.0
1440.0	232.0
1441.0	245.0
1442.0	225.0
1443.0	237.0
1444.0	201.0
1445.0	218.0
1446.0	263.0
1447.0	236.0
1448.0	223.0
1449.0	220.0
1450.0	243.0
1451.0	236.0
1452.0	223.0
1453.0	205.0
1454.0	219.0
1455.0	227.0
1456.0	202.0
1457.0	188.0
1458.0	216.0
1459.0	190.0
1460.0	236.0
1461.0	233.0
1462.0	215.0
1463.0	226.0
1464.0	222.0
1465.0	204.0
1466.0	228.0
1467.0	223.0
1468.0	217.0
1469.0	248.0
1470.0	216.0
1471.0	208.0
1472.0	192.0
1473.0	191.0
1474.0	222.0
1475.0	223.0
1476.0	238.0
1477.0	222.0
1478.0	233.0
1479.0	239.0
1480.0	232.0
1481.0	252.0
1482.0	241.0
1483.0	250.0
1484.0	220.0
1485.0	212.0
