#Coverage	Number of genomic locations
1372.0	277.0
1373.0	282.0
1374.0	274.0
1375.0	250.0
1376.0	273.0
1377.0	248.0
1378.0	243.0
1379.0	263.0
1380.0	260.0
1381.0	267.0
1382.0	265.0
1383.0	281.0
1384.0	248.0
1385.0	282.0
1386.0	215.0
1387.0	242.0
1388.0	267.0
1389.0	258.0
1390.0	265.0
1391.0	273.0
1392.0	263.0
1393.0	234.0
1394.0	245.0
1395.0	266.0
1396.0	277.0
1397.0	251.0
1398.0	234.0
1399.0	276.0
1400.0	243.0
1401.0	258.0
1402.0	279.0
1403.0	250.0
1404.0	240.0
1405.0	272.0
1406.0	263.0
1407.0	264.0
1408.0	265.0
1409.0	279.0
1410.0	267.0
1411.0	240.0
1412.0	268.0
1413.0	256.0
1414.0	293.0
1415.0	265.0
1416.0	244.0
1417.0	257.0
1418.0	233.0
1419.0	261.0
1420.0	275.0
1421.0	276.0
1422.0	239.0
1423.0	301.0
1424.0	248.0
1425.0	263.0
1426.0	288.0
1427.0	270.0
1428.0	246.0
1429.0	270.0
1430.0	286.0
1431.0	274.0
1432.0	305.0
1433.0	276.0
1434.0	278.0
1435.0	274.0
1436.0	263.0
1437.0	262.0
1438.0	256.0
1439.0	281.0
1440.0	297.0
1441.0	252.0
1442.0	272.0
1443.0	280.0
1444.0	248.0
1445.0	271.0
1446.0	275.0
1447.0	281.0
1448.0	246.0
1449.0	272.0
1450.0	252.0
1451.0	258.0
1452.0	255.0
1453.0	244.0
1454.0	275.0
1455.0	274.0
1456.0	324.0
1457.0	249.0
1458.0	250.0
1459.0	263.0
1460.0	263.0
1461.0	211.0
1462.0	292.0
1463.0	290.0
1464.0	255.0
1465.0	247.0
1466.0	274.0
1467.0	290.0
1468.0	253.0
1469.0	271.0
1470.0	267.0
1471.0	272.0
1472.0	226.0
1473.0	261.0
1474.0	268.0
1475.0	229.0
1476.0	253.0
1477.0	231.0
1478.0	239.0
1479.0	247.0
1480.0	251.0
1481.0	250.0
1482.0	279.0
1483.0	259.0
1484.0	223.0
1485.0	209.0
1486.0	232.0
1487.0	252.0
1488.0	221.0
1489.0	235.0
1490.0	247.0
1491.0	247.0
1492.0	270.0
1493.0	245.0
1494.0	269.0
1495.0	259.0
1496.0	262.0
1497.0	239.0
1498.0	255.0
1499.0	235.0
1500.0	224.0
1501.0	259.0
1502.0	254.0
1503.0	252.0
1504.0	260.0
1505.0	229.0
1506.0	262.0
1507.0	259.0
1508.0	266.0
1509.0	246.0
1510.0	244.0
1511.0	256.0
1512.0	227.0
1513.0	227.0
1514.0	259.0
1515.0	292.0
1516.0	214.0
1517.0	234.0
1518.0	252.0
1519.0	233.0
1520.0	232.0
1521.0	277.0
1522.0	238.0
1523.0	227.0
1524.0	242.0
1525.0	217.0
1526.0	259.0
1527.0	256.0
1528.0	265.0
1529.0	251.0
1530.0	251.0
1531.0	251.0
1532.0	241.0
1533.0	241.0
1534.0	249.0
1535.0	231.0
1536.0	243.0
1537.0	228.0
1538.0	247.0
1539.0	261.0
1540.0	224.0
1541.0	245.0
1542.0	247.0
1543.0	227.0
1544.0	228.0
1545.0	266.0
1546.0	246.0
1547.0	259.0
1548.0	202.0
1549.0	225.0
1550.0	244.0
1551.0	286.0
1552.0	222.0
1553.0	248.0
1554.0	241.0
1555.0	233.0
1556.0	240.0
1557.0	238.0
1558.0	236.0
1559.0	245.0
1560.0	249.0
1561.0	235.0
